,type,area,overall
45,2.3545735113622523,5.453727773170517,7.808301284532769
64,2.2634020048437073,6.797474993999997,9.060876998843705
99,2.377697540324582,1.5536598897448082,3.93135743006939
142,2.4082940983529166,2.2871811489323424,4.695475247285259
150,2.153029550633143,1.6485507602297518,3.801580310862895
193,2.3216016420814936,3.0356786929792956,5.357280335060789
203,2.2895398016112667,3.083543520312742,5.373083321924009
211,2.2877920471446282,3.1916191487212293,5.479411195865858
245,2.2970713409528205,2.16827523943293,4.46534658038575
269,2.281848661752654,2.263610020935739,4.545458682688393
271,2.339270675368237,1.5219298109322204,3.861200486300457
297,2.3467491157477514,1.752903672998228,4.0996527887459795
304,2.2810492173752266,1.5078898333476156,3.788939050722842
314,2.3825561468895593,0.3714376829755936,2.753993829865153
332,2.290950483075643,1.9739148846794985,4.264865367755141
340,2.225632155976526,1.5977832126594878,3.823415368636014
342,2.2060595434486934,1.8464642817378258,4.052523825186519
343,2.1995125814774648,1.4938305887548744,3.693343170232339
370,2.2342861548583195,1.6834807849540803,3.9177669398123998
386,2.3519437750867005,1.5994412618635534,3.9513850369502537
389,2.3046091502668844,1.729610538159968,4.034219688426853
435,2.288421248973485,3.4388771844214125,5.727298433394898
436,2.235458969304171,3.425788070307844,5.6612470396120145
438,2.369628712656491,1.1203016163450876,3.489930329001579
451,2.33498770021685,3.3053944546329013,5.6403821548497515
454,2.294988225464766,2.1280560734855714,4.423044298950337
466,2.3027072080875866,1.3871774213239898,3.6898846294115764
472,2.364968876330799,3.237874058163766,5.602842934494565
496,2.3666075568218243,3.254762075264336,5.621369632086161
545,2.3028751040789537,1.9191342125833866,4.222009316662341
557,2.2910952161043263,2.0825116182072194,4.373606834311546
559,2.2959760988714693,1.9926302094011141,4.288606308272583
574,2.2189058361679734,1.6953191480622711,3.914224984230245
575,2.310456546921994,1.8094477632436896,4.119904310165683
620,2.3116392971448394,1.0996209520504836,3.411260249195323
622,2.280994859298599,2.0715221355890434,4.352516994887642
623,2.32483466799113,2.5634193523921467,4.888254020383277
629,2.304966158807658,1.9219598985524902,4.226926057360148
645,2.3632371544826865,1.2724554714559906,3.635692625938677
660,2.148890663030618,0.996295890376791,3.145186553407409
671,2.32149484673599,1.276626678494674,3.598121525230664
679,2.3349376303045615,1.258467055806144,3.5934046861107056
692,2.36216014685484,0.6693585210145117,3.031518667869352
698,2.3686245119372034,1.1080250199102304,3.4766495318474337
700,2.3783103502875433,0.43461780654078674,2.81292815682833
711,2.3348889031834754,1.0859440756203178,3.4208329788037934
714,2.357226603931828,0.9248053097541509,3.282031913685979
737,2.312878614435964,3.476434944473456,5.78931355890942
740,2.278633532783273,2.9324966618046844,5.211130194587957
742,2.3349799531378177,2.500993115755622,4.8359730688934395
750,2.322697382983772,3.3020547035873107,5.624752086571083
752,2.310525122647894,1.6421701107618407,3.9526952334097345
767,2.322698773314307,1.0583856248855592,3.3810843981998664
773,2.333054846654346,2.5731066102671933,4.90616145692154
782,2.3126257026330657,2.7034284789085508,5.016054181541616
791,2.3444905013303314,1.4769148370840046,3.821405338414336
811,2.361465415267282,1.3481006913140368,3.7095661065813186
830,2.208130045797144,1.1988768146389683,3.4070068604361126
842,2.359218004695064,1.6467682065552232,4.0059862112502875
843,2.3024209939391804,1.616442620029528,3.9188636139687087
853,2.2807382036569797,1.4552085177240144,3.7359467213809943
875,2.403864643182472,1.6924704099974224,4.096335053179894
880,2.319106793006022,0.7751621711556588,3.0942689641616807
890,2.2936582833747763,1.7514472330508473,4.0451055164256235
910,2.3069494794025185,1.1816118454169038,3.4885613248194223
913,2.3310276350919996,1.7956058552689198,4.12663349036092
921,2.2707453149739276,2.02639972011068,4.297145035084608
932,2.29857170168713,2.591035656295204,4.889607357982334
935,2.308471761505912,2.4278775335547853,4.736349295060697
940,2.2160910394199425,2.2216295730426405,4.4377206124625825
948,2.317532865894885,2.590204111317699,4.9077369772125845
954,2.298613189731705,2.277762940094615,4.57637612982632
963,2.3433462136560954,2.1274671730153045,4.4708133866714
986,2.3235089433639926,2.071185164014758,4.394694107378751
991,2.311049783125565,1.524506258436604,3.8355560415621692
1023,2.322801651573816,3.805781864105465,6.128583515679281
1055,2.313643117094151,2.4999072153395234,4.813550332433675
1056,2.2636980305690972,3.511395684720931,5.775093715290028
1067,2.3844956174319125,3.6108890627051746,5.995384680137088
1071,2.321840394457268,4.3545142316942105,6.676354626151479
1079,2.3162832329494627,4.500936679500625,6.817219912450088
1084,2.3166502221010665,2.3462694886427613,4.662919710743828
1086,2.3624865285256984,3.082532537596451,5.44501906612215
1097,2.327252811554012,3.730504486732027,6.057757298286039
1122,2.339753017328451,3.3481465925074083,5.68789960983586
1126,2.2446078337501585,5.444503498138853,7.689111331889011
1171,2.356553789563601,1.9171381442537956,4.273691933817396
1177,2.314692384270721,1.3366671888496093,3.65135957312033
1189,2.331236840203886,0.5389865311230049,2.870223371326891
1192,2.283060862216823,1.4420193716951981,3.7250802339120215
1214,2.275899742666707,1.6991782195176222,3.9750779621843293
1237,2.327316478581333,1.438060208750997,3.76537668733233
1243,2.292901468667933,1.698755117123705,3.991656585791638
1250,2.3213709116412162,1.449906254968628,3.771277166609844
1256,2.298941241467067,1.0593792105225184,3.3583204519895853
1268,2.335086234569048,1.2727883420681305,3.6078745766371787
1281,2.294870978724316,1.2690543410397022,3.563925319764018
1287,2.3480943752524173,2.3372212689181926,4.685315644170609
1306,2.1729013405923903,1.5023825735393679,3.675283914131758
1308,2.3524049368127784,1.2121709869275665,3.564575923740345
1313,2.311898737882669,3.0324216724445967,5.344320410327265
1319,2.2986278999371135,2.6812829758856638,4.979910875822777
1327,2.3307697214399323,2.6937457285304864,5.024515449970419
1334,2.318803377518749,1.7113943110989112,4.03019768861766
1350,2.2868194801139237,2.891090825655379,5.177910305769302
1358,2.3093878202557314,3.612164705517958,5.92155252577369
1362,2.368289743420995,2.1025062427670593,4.470795986188055
1363,2.3369183777413998,2.7623340483677397,5.099252426109139
1389,2.255328992957327,2.4636424036539335,4.718971396611261
1390,2.3036092375113344,2.0408928266357345,4.344502064147068
1394,2.3358683748527636,3.4418692486714964,5.77773762352426
1395,2.3233805987608265,1.1416018021510008,3.4649824009118273
1398,2.3140851219101446,2.8107495568934238,5.124834678803568
1400,2.3426087092832564,3.5432794780607604,5.885888187344017
1421,2.3317376114708157,3.1833578164250507,5.515095427895867
1426,2.277327892263773,4.3382006244991125,6.615528516762886
1447,2.300903392114987,2.108327088099006,4.409230480213993
1457,2.2865275409496193,1.9797396698671037,4.266267210816723
1460,2.288030679671052,1.9095765004700074,4.197607180141059
1468,2.357890328813979,1.9128233652842381,4.270713694098217
1478,2.344756939719414,1.9167706112577294,4.261527550977144
1499,2.2812386197130596,2.4824297204266625,4.763668340139722
1516,2.3071563162285784,2.7779005728707813,5.085056889099359
1533,2.306997850262012,2.633852193330045,4.940850043592057
1541,2.339402357153745,2.0629463413969966,4.402348698550742
1545,2.315674006066171,2.0746802649551315,4.390354271021303
1547,2.3152313396799045,2.75249960768757,5.067730947367474
1548,2.279958693136547,2.346433696322576,4.626392389459123
1568,2.313340576194546,2.638923515800147,4.952264091994693
1573,2.3688803897425017,1.1258247981729737,3.4947051879154754
1576,2.294276316590397,2.8483416204043426,5.142617936994739
1591,2.2852898477410326,2.4879169610363396,4.773206808777372
1601,2.3137988221410812,2.6759773159367923,4.989776138077874
1608,2.335339461521831,2.1278037375451833,4.463143199067014
1617,2.340974471406115,4.814224610040968,7.155199081447083
1633,2.3273907974881,5.994066262912124,8.321457060400224
1649,2.300053498292039,5.978328870437228,8.278382368729268
1660,2.3908269424858877,0.9803562409403381,3.3711831834262256
1678,2.324639279321146,3.4870200843994907,5.811659363720636
1713,2.288588655322716,3.9770415073425487,6.265630162665264
1730,2.301073934126102,4.458638283605279,6.759712217731382
1740,2.3267833946092797,2.74670312644988,5.073486521059159
1753,2.273414926735001,3.99375135242252,6.267166279157522
1760,2.3272367076885296,4.796126287234851,7.123362994923381
1784,2.2472526380181774,5.217187732277816,7.464440370295994
1797,2.309086243004861,5.490848117040182,7.799934360045043
1800,2.305151137104751,4.381259689116423,6.686410826221174
1804,2.212781206293975,1.8217764234542846,4.034557629748259
1811,2.289750921352613,4.6194594732843886,6.909210394637002
1816,2.334638144528373,3.1213080799395883,5.4559462244679615
1821,2.3971444106234263,1.9289185665021515,4.326062977125578
1856,2.300025335928264,3.8952197337464978,6.195245069674762
1871,2.2597955855054987,4.112634270423176,6.372429855928675
1907,2.309850771210666,2.8032361283966676,5.1130868996073335
1923,2.2849254129937604,2.8162946575162353,5.101220070509996
1925,2.2670552825846575,3.0871751305405346,5.354230413125192
1942,2.2639542916249686,2.9290709593202924,5.1930252509452615
1947,2.363486626115434,0.4457779040194397,2.809264530134874
1987,2.2777792403152275,1.2289042872059937,3.506683527521221
2022,2.3479048933424522,1.6178497319035685,3.9657546252460207
2035,2.381675136809232,1.3964240361870115,3.778099172996243
2042,2.354412584887095,1.48930254298493,3.8437151278720254
2056,2.14514319281486,1.357512989847519,3.502656182662379
2058,2.293021199718294,1.605873886520434,3.8988950862387277
2064,2.410691089607992,1.6300740252752188,4.040765114883211
2134,2.4017380560718475,1.6745906644843949,4.076328720556242
2135,2.294686214978987,1.786842618742269,4.081528833721256
2138,2.337403561940845,1.9915654219574497,4.328968983898295
2148,2.30116078432404,1.3467522221758117,3.6479130064998513
2156,2.257257686789448,1.5736977935429275,3.8309554803323755
2161,2.403999765589906,2.1201171897031834,4.524116955293089
2165,2.2382067393699994,1.8326276992501527,4.070834438620152
2166,2.2611579677536913,1.4874726610629811,3.7486306288166724
2191,2.3922541181907184,2.022090566506729,4.414344684697447
2205,2.199914047516993,1.9023870049108584,4.102301052427851
2218,2.406112497846064,4.266997962251237,6.673110460097301
2222,2.3185052236471746,4.20380669546929,6.522311919116465
2237,2.346373258405583,3.624625644793398,5.970998903198981
2240,2.4053257339870693,0.4219618970357361,2.8272876310228052
2254,2.2924566136812774,4.4339728313388855,6.7264294450201625
2255,2.362917108456849,2.5596056562944427,4.922522764751292
2277,2.3096443110392397,12.516152837034001,14.82579714807324
2283,2.3123528345663757,12.88806387027056,15.200416704836936
2286,2.3595390697793226,0.4333694361543273,2.79290850593365
2320,2.3619864409520908,4.147122051793259,6.50910849274535
2338,2.350426047206294,14.547778242136946,16.89820428934324
2344,2.3865571104460157,4.516275797239343,6.902832907685359
2350,2.360656664611097,5.147892091276428,7.508548755887524
2351,2.326896624322771,3.5661869998858946,5.893083624208666
2354,2.2659952381043396,8.36819511957323,10.63419035767757
2377,2.34043310704711,3.2148149933241883,5.555248100371298
2379,2.072224635112794,1.138942815854187,3.211167450966981
2380,2.204841020145196,1.145900509507492,3.3507415296526877
2395,2.3591617039621418,3.267950454058319,5.627112158020461
2415,2.3260992684237043,2.71785225568049,5.043951524104195
2418,2.2219344892865514,1.7813959401426391,4.003330429429191
2422,2.289194365450858,2.3806831639728294,4.669877529423688
2431,2.2357350457763085,2.5906654808686036,4.826400526644912
2476,2.3369473423264435,3.1512890389587764,5.48823638128522
2482,2.3049062386388623,2.1457416244166323,4.450647863055495
2490,2.348187807123029,3.7614084319504903,6.10959623907352
2504,2.364410094440713,3.6852834306091475,6.049693525049861
2506,2.3476321116642946,1.3474258831262258,3.6950579947905204
2510,2.0074305812923745,1.6857689567122192,3.6931995380045937
2521,2.255501964487782,1.1759518942194616,3.4314538587072434
2527,2.3160368933407174,1.6850075355250576,4.001044428865775
2536,2.2635995646750424,1.7532708401853374,4.01687040486038
2537,2.2718870389270536,1.706403171974488,3.978290210901542
2539,2.268899812499235,1.2963362520550026,3.565236064554237
2551,2.3756333318444764,0.7148677990335998,3.090501130878076
2572,2.2864543467882115,1.5947459693782822,3.8812003161664936
2576,2.2659626525336742,2.076002942014496,4.341965594548171
2579,2.3452634152967544,3.159182131250505,5.5044455465472595
2585,2.355296140130379,2.0027989895313136,4.3580951296616925
2591,2.3174660400793234,3.335457118509502,5.652923158588825
2595,2.2859889652986154,2.779311180084646,5.065300145383262
2660,2.310276976139367,3.7137051218197623,6.023982097959129
2661,2.2447324108756503,2.887660912647075,5.1323933235227255
2667,2.2507037856581626,4.960939398197097,7.21164318385526
2668,2.309940674962942,0.3988693404689865,2.7088100154319283
2670,2.3586407189979215,1.406597785612438,3.76523850461036
2672,2.309846249362277,1.6139123075192263,3.923758556881503
2676,2.320678997968351,4.026737729253098,6.347416727221448
2678,2.3612215486124812,2.9624962638666443,5.323717812479126
2693,2.368068727442338,2.8631330666114265,5.2312017940537645
2697,2.3414821830182397,3.605382006200053,5.946864189218292
2704,2.325517027410879,3.6531793506292267,5.978696378040105
2705,2.338383442024207,3.126154049913926,5.464537491938133
2707,2.3500394835828353,3.6040426504900642,5.9540821340729
2714,2.3335813169681514,2.5638528755604537,4.897434192528605
2730,2.339489772575179,4.053364062539098,6.392853835114277
2753,2.295958180213076,3.3067646757731644,5.60272285598624
2758,2.3265244888242287,1.8332900060974493,4.159814494921678
2770,2.347849332878771,1.9545374099177346,4.3023867427965055
2778,2.2986884318681855,3.418023097930489,5.716711529798674
2783,2.29323672666743,3.7685426984920185,6.061779425159449
2804,2.281169772853045,3.491513078094677,5.772682850947722
2808,2.299134639269531,4.118014835272106,6.417149474541637
2810,2.2764784420007875,4.154506010829933,6.430984452830721
2812,2.3165016908872453,1.7316188207014669,4.048120511588712
2816,2.2804076574390613,3.941853756488555,6.222261413927616
2818,2.283692684777402,4.23455754694914,6.518250231726542
2823,2.3281158839214067,1.515321036485516,3.8434369204069228
2832,2.0074307543085497,0.634964366347931,2.642395120656481
2841,2.221281667274078,1.480306238694815,3.7015879059688928
2860,2.355773307229878,0.895012565221526,3.250785872451404
2862,2.4056204175320235,0.1236899542873536,2.5293103718193772
2864,2.327846428520015,1.8123535456145192,4.140199974134534
2878,2.283066706685384,0.1401281771511536,2.4231948838365374
2888,2.330073814243676,3.317513022793241,5.647586837036917
2914,2.3230468329927256,3.7763121314589454,6.099358964451671
2931,2.2959822178913742,3.5853811778877573,5.881363395779132
2950,2.285534434054839,1.9790760100094797,4.264610444064319
2960,2.3064887297244665,2.93545925091665,5.2419479806411164
2966,2.330558027413789,3.362506901018255,5.693064928432044
2984,2.2614391534158242,2.616609892588653,4.878049046004477
2987,2.321553009287836,2.843328199887363,5.164881209175199
2990,2.3356185049833784,3.3276753525740492,5.663293857557427
2999,2.2914780133730983,3.2386186523260134,5.530096665699112
3003,2.361015947902073,2.087042396428284,4.448058344330357
3014,2.3031576467507744,2.599269521516377,4.902427168267151
3018,2.260436945327023,1.9632556880794723,4.223692633406495
3021,2.271977351240011,2.5403157709669277,4.812293122206938
3040,2.3454851324261248,2.44042386209917,4.785908994525295
3047,2.240789268273135,2.879693422796374,5.120482691069509
3054,2.2591335052744737,2.7070451224181755,4.966178627692649
3055,2.269988236250674,3.5901450089620814,5.860133245212755
3059,2.3295944563226425,1.3867018345244446,3.716296290847087
3350,2.3848680025503546,0.9944314299417036,3.379299432492058
3355,2.372684587270513,1.1917275780697405,3.5644121653402534
3384,2.268963856302292,1.7162744140883026,3.9852382703905946
3387,2.3605977406969405,2.0741951959835223,4.434792936680463
3396,2.3719042624938367,2.4406789423730406,4.812583204866877
3402,2.309067284521124,2.6536823413147537,4.962749625835878
3406,2.310434952209844,2.1485130526298164,4.458948004839661
3408,2.2857507482908486,2.2862534025530206,4.572004150843869
3422,2.2745541566631053,2.0346431147750503,4.309197271438156
3424,2.3198214176270002,2.0800940970162025,4.399915514643203
3438,2.298894556510998,2.27144821400298,4.570342770513978
3442,2.2799133643210845,2.1638068370851724,4.443720201406257
3454,2.314789741303577,1.9733188752633162,4.288108616566893
3455,2.3137613253864924,2.4895356662627814,4.803296991649274
3458,2.338747175476559,1.2827617721659434,3.6215089476425026
3464,2.3078228254705913,2.9553313844447775,5.263154209915369
3494,2.3302545105727335,2.5100149209578397,4.840269431530573
3540,2.3459489780681557,2.711845089747086,5.057794067815242
3567,2.3816141011767273,1.7543645094502562,4.135978610626983
3572,2.3301805221798046,2.1100454508908975,4.440225973070702
3583,2.30757449744661,2.1404239643611644,4.447998461807774
3599,2.3374544364467456,0.7100065171089784,3.047460953555724
3601,2.33330735698559,2.5362355502478535,4.869542907233443
3645,2.319353601045344,2.2912416882334976,4.610595289278842
3651,2.348919980922568,1.4928117098747,3.841731690797268
3659,2.287926154079796,2.149113985943161,4.437040140022957
3660,2.3084466032670803,1.3181599428718898,3.6266065461389703
3663,2.3455996100511176,1.314543727618561,3.6601433376696786
3668,2.2543132260485965,1.8035214724570519,4.057834698505649
3679,2.357137964435106,1.4727115790474192,3.829849543482525
3682,2.265435987090644,1.4741534514091554,3.7395894384997996
3723,2.2503216532658814,2.5761222111966897,4.826443864462571
3724,2.26275992764896,1.0290734776033121,3.291833405252272
3738,2.332769525324111,1.9386688158841308,4.271438341208242
3744,2.220137627623937,1.6056751962298277,3.8258128238537648
3751,2.120037696514838,0.6629824867284088,2.783020183243247
3755,2.296941235150595,1.9264551389805211,4.2233963741311165
3762,2.0937121494204987,0.8959141270556641,2.9896262764761627
3776,2.2908301582366954,2.173188584473837,4.4640187427105325
3783,2.3418050346794623,1.8907398825517454,4.232544917231207
3791,2.3594972721477743,3.1874431800970964,5.54694045224487
3798,2.285244604699643,1.4863959324027711,3.7716405371024138
3825,2.3840711946748776,1.7652892371306381,4.1493604318055155
3828,2.2768954845416016,3.2802375197926636,5.557133004334265
3831,2.3386973382649385,1.9247379917446856,4.263435330009624
3841,2.306656878820045,1.0262550403010253,3.33291191912107
3842,2.3529378967209813,2.2132055032108,4.566143399931781
3849,2.2915112365182138,1.42955191913548,3.7210631556536935
3852,2.2828792731467913,1.6248920728452771,3.907771345992068
3855,2.288197642416901,1.7898229025059227,4.078020544922824
4328,2.25630537111186,2.7914550297735787,5.047760400885439
4360,2.3008600815751565,2.0782754966387884,4.379135578213945
4373,2.358611040378063,1.9514802276297836,4.310091268007847
4383,2.3353378856968963,2.546666426021658,4.882004311718554
4912,2.355770207455411,1.8273891400538516,4.183159347509263
total,2.30815,2.48912,4.79728
