,type,area,overall
45,2.340354701272277,3.9870867884956995,6.327441489767977
64,2.377927436946302,4.923896565050504,7.301824001996806
99,2.384435340818996,8.665161523438453,11.049596864257449
142,2.4128258982637494,13.51639053338916,15.92921643165291
150,2.312279363780956,8.551182466051756,10.863461829832712
193,2.310622058190441,1.3058795526718578,3.616501610862299
203,2.2926056518630453,1.0551082184430824,3.3477138703061278
211,2.3092012175924475,1.4458861750423462,3.7550873926347936
245,2.265074946298826,0.453930700615118,2.7190056469139443
269,2.341185038099741,0.8538835348408763,3.195068572940617
271,2.2787944048797737,0.7991791620133971,3.0779735668931707
297,2.3009926230235034,4.91502159406814,7.216014217091644
304,2.3014408592134803,4.707249782535471,7.008690641748951
314,2.0823436751344104,4.858397649992767,6.940741325127178
332,2.349573877672878,4.6521699842961866,7.001743861969064
340,2.251855223367392,2.6938684442943543,4.945723667661746
342,2.3126366830924776,5.975012008976941,8.28764869206942
343,2.325896898184907,6.3561334816136315,8.682030379798539
370,2.266337826905149,4.798281387991533,7.064619214896682
386,2.353643171327184,4.984660792101277,7.33830396342846
389,2.3760598895797367,5.172516002449351,7.5485758920290875
435,2.28270421025741,1.909225562074982,4.191929772332392
436,2.295952727234112,2.1199972400581863,4.415949967292298
438,2.3436765969972826,0.6692390780147464,3.012915675012029
451,2.3042036882492507,1.6143920533915699,3.9185957416408206
454,2.178439997672764,1.3733097924941462,3.55174979016691
466,2.3985823407818847,1.3221721806529234,3.720754521434808
472,2.3143430294954355,16.51444050488792,18.828783534383355
496,2.3541322665842195,10.579738420586041,12.933870687170261
545,2.3339852257290206,1.4988725117672606,3.832857737496281
557,2.3254810282803504,0.7922640611085068,3.1177450893888574
559,2.2947002791832376,1.181693418637326,3.476393697820564
574,2.3102588831544835,0.9108530284146527,3.2211119115691362
575,2.31309124474194,1.265313921155751,3.578405165897691
620,2.2204960769663473,0.7860954185984008,3.006591495564748
622,2.303015528043,1.3883588790664936,3.6913744071094934
623,2.2915927947479715,1.3628700223619776,3.654462817109949
629,2.3111128045227085,0.7069851637245445,3.018097968247253
645,2.31498251719595,6.258233154957757,8.573215672153706
660,2.357845956313394,4.253768575919807,6.611614532233201
671,2.2865373459003084,7.595869677527231,9.88240702342754
679,2.2175875430841034,7.249891112686326,9.46747865577043
692,2.2653478551485904,5.9854707827135885,8.250818637862178
698,2.1563042813125355,4.865725890333964,7.0220301716465
700,1.8010863931288708,5.547013182507811,7.348099575636682
711,2.2717061874238227,6.626518842276372,8.898225029700194
714,2.126384153831062,6.795111956496637,8.921496110327698
737,2.3295448370872895,4.992706611936246,7.322251449023535
740,2.3231520663328293,2.484159707991763,4.807311774324592
742,2.32180096122011,6.294886774437974,8.616687735658084
750,2.4000851244710835,1.3328014168679887,3.732886541339072
752,2.393393882515265,7.26517578215979,9.658569664675056
767,2.4000855749528576,0.3418297910690307,2.7419153660218885
773,2.2918589107840823,6.591718962485158,8.88357787326924
782,2.327010429748962,5.06808982903251,7.395100258781472
791,2.3753914893013186,2.598146334483261,4.9735378237845795
811,2.366589622123181,3.126385268834168,5.492974890957349
830,2.3146656756494273,1.9867858816086177,4.301451557258045
842,2.364613290485358,2.359773457093385,4.724386747578743
843,2.360856244121592,3.035515845388135,5.396372089509727
853,2.344568050512618,2.809022642160295,5.153590692672912
875,2.3358532750540286,1.0963079183737365,3.432161193427765
