,type,area,overall
45,2.3263799089954564,4.6330355200882956,6.9594154290837515
64,2.2214668952418606,5.814253829093941,8.035720724335802
99,2.3249241272397563,2.5326091206308323,4.857533247870588
142,2.328774716601976,0.836483220265274,3.16525793686725
150,2.2677316926514126,1.038292426138672,3.3060241187900843
193,2.3019210076239847,57.365901363429906,59.66782237105389
203,2.3398951851408047,19.876649603742774,22.216544788883578
211,2.334376677892311,46.63022652351266,48.96460320140497
245,2.4022514377341757,23.15169868632929,25.553950124063466
269,2.404250428993058,4.860266693120178,7.2645171221132365
271,2.3916484885138094,6.105542357194292,8.4971908457081
297,2.309558850225496,3.8458207671145432,6.155379617340039
304,2.3643992975734176,6.081966503667689,8.446365801241107
314,2.3865652235454022,0.8450246997345086,3.231589923279911
332,2.3582892329299425,4.925963014270684,7.284252247200627
340,2.2313640305571294,3.2767787938166535,5.508142824373783
342,2.294393689280153,6.9649502761575235,9.259343965437676
343,2.2680852749485245,5.094487324578651,7.362572599527176
370,2.2661960874940297,4.700832773188501,6.967028860682531
386,2.3321322307620367,4.672628714466103,7.004760945228139
389,2.2885866534038617,5.160282368903552,7.448869022307413
435,2.294500512376256,2.746248997739043,5.040749510115299
436,2.2632528496928184,2.613466546442187,4.876719396135005
438,2.1254119336289654,2.6002258044145203,4.725637738043486
451,2.2765555244506976,2.8124193935434616,5.088974917994159
454,2.327146188170114,1.5298869004178468,3.857033088587961
466,2.34342975043831,2.137078209392761,4.480507959831071
472,2.3221260787976674,2.301694898305134,4.623820977102802
496,2.3424514323070262,2.4543790584359133,4.7968304907429395
545,2.2739036355084923,2.4304906024710387,4.704394237979531
557,2.256995354303022,2.7006694061262637,4.957664760429285
559,2.2550714398570513,2.45159531044509,4.706666750302141
574,2.3440316344299834,1.1837259166618246,3.527757551091808
575,2.284590810252639,2.2599703452137208,4.54456115546636
620,2.372932925230786,1.7051906911788208,4.078123616409607
622,2.2758782881203063,2.9578587113909434,5.233736999511249
623,2.1377943682709186,2.8514199146721144,4.989214282943033
629,2.0831328543205085,1.1643522511412354,3.247485105461744
645,2.324425490326024,6.4885672913661985,8.812992781692223
660,2.1694820365959737,3.7943896160361885,5.963871652632163
671,2.2832879181792283,7.351778199464023,9.635066117643252
679,2.2661110721778743,5.677878287246833,7.943989359424707
692,2.3037542837143428,3.8056460775165433,6.109400361230886
698,2.3204517809692424,6.988312000196832,9.308763781166075
700,2.361307844338204,1.3414875227189025,3.7027953670571065
711,2.29452680344501,7.248535806987047,9.543062610432058
714,2.309581877996824,5.437289111958163,7.746870989954987
737,2.3587183325818595,2.962174165160193,5.320892497742053
740,2.3055387770110833,3.1469100507793093,5.452448827790393
742,2.331634448317412,2.8345700853610944,5.166204533678506
750,2.4034041253930294,1.3723423362875367,3.775746461680566
752,2.390191001795409,0.8903289232847289,3.280519925080138
767,2.403403558597543,0.8418305510282517,3.2452341096257946
773,2.3723350619264862,1.7674535603272397,4.139788622253726
782,2.3401234883076527,2.042846080711766,4.382969569019419
791,2.3705515618135298,2.522883701421527,4.893435263235057
811,2.342734563561251,2.0049827393869304,4.3477173029481815
830,2.326205423576411,1.8465441899630934,4.172749613539505
842,2.321907282332175,2.558000396526393,4.879907678858568
843,2.3058748398095466,2.1082609006099653,4.414135740419512
853,2.3123181328844273,1.8572661150205168,4.169584247904944
875,2.2684460287926576,3.775275559999936,6.043721588792593
880,2.318295093417374,4.879775790166997,7.198070883584371
890,2.265157312953966,7.840860851483656,10.106018164437621
910,2.21686606895542,5.559036920712806,7.775902989668227
913,2.224375608088095,5.494549059917873,7.718924668005968
921,2.2926003604129224,7.6265748150616135,9.919175175474535
932,2.367053215211019,3.5948518201242883,5.961905035335308
935,2.311268610030074,3.5055735349198027,5.816842144949877
940,2.2642475521274004,3.3575069286957495,5.621754480823149
948,2.327382682502077,3.8585036863060185,6.185886368808095
954,2.328232588629916,4.118300976184608,6.4465335648145246
963,2.3684637718934836,2.451424152364769,4.819887924258253
986,2.3476238611968556,2.0142312779646043,4.3618551391614595
991,2.332395452374714,3.0999508204806685,5.432346272855383
1023,2.3435122095826024,2.015088221600982,4.358600431183584
1055,2.278654713443027,1.4085873223168488,3.6872420357598754
1056,2.3082027240917844,1.644128363181731,3.9523310872735156
1067,2.368758728391415,1.1850073177131037,3.553766046104519
1071,2.3404246363442383,1.570847198200591,3.911271834544829
1079,2.3133645997951686,1.2667356814466564,3.580100281241825
1084,2.314569392503415,0.9517178908292923,3.2662872833327077
1086,2.2632652219468383,0.8396859422628556,3.102951164209694
1097,2.2584029531474052,1.6980528522330465,3.9564558053804517
1122,2.327426188254117,1.6839895137879612,4.011415702042078
1126,2.329900223093897,1.6627090039468213,3.9926092270407185
1171,2.3485934109853894,2.1147434751902026,4.4633368861755915
1177,2.3113631220963207,1.3847870695590974,3.696150191655418
1189,2.376975806680295,1.5787806314980164,3.9557564381783115
1192,2.3964323978356106,1.0569542184540406,3.4533866162896514
1214,2.2956914457812423,2.3290968514346617,4.624788297215904
1237,2.320086200278233,1.9506131193623961,4.270699319640629
1243,2.3171033277801616,2.209290894121437,4.526394221901599
1250,2.336787000763716,1.6270721319198203,3.9638591326835364
1256,2.2255439586460493,1.1474309427723466,3.372974901418396
1268,2.3485605060302785,1.6565406434461822,4.005101149476461
1281,2.2633283028068876,2.852843259402126,5.116171562209013
1287,2.1433333666939394,5.84971687580479,7.99305024249873
1306,2.4102965459695,9.228166642731079,11.638463188700578
1308,2.375261459493013,4.480821461148499,6.856082920641512
1313,2.2744853725487437,33.87531660472964,36.149801977278386
1319,2.247205311622629,34.99114756473561,37.23835287635824
1327,2.217633788327066,23.470961326169213,25.68859511449628
1334,2.169623326793274,31.088059508411746,33.25768283520502
1350,2.2661191958185483,49.23229330840169,51.498412504220234
1358,2.261993330321512,1.8580127765170238,4.120006106838535
1362,2.117130073210792,1.4740392114880798,3.591169284698872
1363,2.3102379925208214,1.3202609660569107,3.630498958577732
1389,2.247897101828137,1.5964993024656402,3.8443964042937773
1390,2.2431919177610036,1.0458490428031189,3.2890409605641224
1394,2.3330534948566806,1.7093377805772814,4.042391275433962
1395,2.3154749464899447,0.8785010902323913,3.193976036722336
1398,2.299203236482121,0.9667496571771846,3.2659528936593056
1400,2.314849133832743,1.150973846002811,3.4658229798355538
1421,2.3534034751771875,1.2586612092756124,3.6120646844528
1426,2.3035000646042425,1.7832884982373542,4.086788562841597
1447,2.3453457229607144,2.675525707799749,5.020871430760463
1457,2.1621353139711337,1.7671978416961975,3.929333155667331
1460,2.3387704853965863,2.2583773730907835,4.59714785848737
1468,2.2818119330288495,2.0516149632069256,4.333426896235775
1478,2.3079852343110674,2.459645564308452,4.767630798619519
1499,2.382895667947359,2.398691629939214,4.781587297886573
1516,2.329414212676847,1.8255329498078128,4.15494716248466
1533,2.1743622484812892,1.663995625246826,3.838357873728115
1541,2.1662111250498763,2.5700009416388445,4.73621206668872
1545,2.2404123914840914,1.69489378500132,3.9353061764854114
1547,2.376842243776236,1.9827142490171408,4.359556492793377
1548,2.388959714620377,1.951891734988543,4.34085144960892
1568,2.187995916666598,2.229430708323837,4.417426624990435
1573,2.3328045669833637,0.6100162925061952,2.942820859489559
1576,2.370067329752856,2.038883481018561,4.408950810771417
1591,2.3634522978238137,2.708714216066667,5.072166513890481
1601,2.2363151531931855,2.792769885127391,5.029085038320577
1608,2.1843094368158598,1.4765668402259329,3.6608762770417926
1617,2.3041777954396796,2.5773870065087494,4.881564801948429
1633,2.309255089830715,2.540096146831067,4.849351236661782
1649,2.3416349871541753,1.906627469834672,4.248262456988847
1660,2.4105378467560556,1.0657661377754821,3.4763039845315378
1678,2.253470409923042,1.8185184945401918,4.071988904463233
1713,2.229507505557077,2.204246798890928,4.433754304448005
1730,2.278761804896508,1.9386082121548343,4.217370017051342
1740,2.4025792977192144,2.0340192699626063,4.436598567681821
1753,2.347828691494381,2.397429983832568,4.74525867532695
1760,2.373544976426241,2.1704297558272314,4.5439747322534725
1784,2.1302172259265055,1.6406670489629824,3.7708842748894877
1797,2.210103491679901,2.3096065949447873,4.519710086624688
1800,2.24222220304181,1.4841923853428254,3.7264145883846354
1804,2.349261395636105,1.8177814822552847,4.16704287789139
1811,2.184357535470274,2.01165842807939,4.196015963549664
1816,2.199063218792415,1.1126454203800547,3.31170863917247
1821,2.3190370887618155,0.8409226817562561,3.1599597705180713
1856,2.3147444295542408,4.206150473103336,6.520894902657577
1871,2.261231933008364,4.1543605997440745,6.415592532752438
1907,2.313552955697767,1.1942874357172624,3.5078403914150296
1923,2.393126570749615,3.218170708943947,5.611297279693562
1925,2.266816663970116,3.9481528365432936,6.21496950051341
1942,2.233715572327347,3.8280251504361056,6.061740722763453
1947,2.4067045234797186,3.6434217443323975,6.050126267812116
1987,2.2904224918791103,2.662983164226587,4.953405656105698
2022,2.3722859101570477,8.788974043782572,11.16125995393962
2035,2.3076353901587465,7.948543908665137,10.256179298823884
2042,2.3951053471954915,5.211804779536099,7.60691012673159
2056,2.407805293926013,6.022776269754654,8.430581563680667
2058,2.397860360479311,4.652642664531571,7.050503025010882
2064,2.300293805708589,8.188088444008347,10.488382249716937
2134,2.2917691953074697,4.373517420060676,6.665286615368146
2135,2.3972185785357953,4.611474663527552,7.008693242063348
2138,2.403525436071898,4.251645894903157,6.655171330975055
2148,2.2976279087294746,2.5183125526385113,4.815940461367986
2156,2.2517209010515074,2.908665767259967,5.1603866683114745
2161,2.4233960280911946,2.649327650446275,5.07272367853747
2165,2.297752738656551,3.611656572394023,5.909409311050574
2166,2.243626116700367,4.153494590435816,6.3971207071361835
2191,2.0609516766657014,2.0773225401565782,4.13827421682228
2205,2.2442252676369554,1.203895295438776,3.4481205630757312
2218,2.3411664373963506,1.0594087142938233,3.400575151690174
2222,2.315168132277649,1.4900907458051151,3.805258878082764
2237,2.333466877873019,1.8498373638658407,4.18330424173886
2240,2.2694375698498255,2.2760521704160155,4.545489740265841
2254,2.2646193656276354,1.6023057178857352,3.8669250835133706
2255,2.3239305436454223,2.0926036626535933,4.416534206299016
2277,2.301281471300499,1.9984992362379674,4.299780707538466
2283,2.2763393294469103,1.9752890074034672,4.251628336850377
2286,2.3475096828167232,1.9084091268872834,4.255918809704006
2320,2.226633186380316,1.3845628358466493,3.6111960222269657
2338,2.2928329257893103,2.291576510757652,4.584409436546962
2344,2.3203217457828624,1.923469674147531,4.243791419930393
2350,2.3580353382793136,2.4338302477179155,4.791865585997229
2351,2.1766896327375127,1.614789510162018,3.7914791428995307
