,type,area,overall
45,2.3551897077049038,5.464746638658309,7.819936346363213
64,2.2640988234727644,6.609696808084656,8.873795631557421
99,2.3784965749774836,1.6198289231847056,3.998325498162189
142,2.4081966429049086,2.293369124338989,4.701565767243897
150,2.154386920050326,1.6354025716387484,3.789789491689074
193,2.321261092862287,1.97463379092284,4.295894883785127
203,2.289706031824085,2.1024380343227236,4.392144066146809
211,2.288801348780224,2.879644186087873,5.168445534868097
245,2.29750913233407,2.714648458517303,5.012157590851373
269,2.282301720111272,2.2561640249294093,4.538465745040681
271,2.338597711713737,2.016768207640391,4.355365919354128
297,2.348882722220191,1.2079723806933385,3.5568551029135294
304,2.2804051330288755,1.5109770956601871,3.791382228689063
314,2.383929326417939,0.6927517503523865,3.0766810767703254
332,2.2903044249807047,1.5748126787597456,3.8651171037404506
340,2.2281097798622906,1.5041975332977722,3.732307313160063
342,2.2043966499584586,1.7931209318133712,3.99751758177183
343,2.1966969752348255,1.6836088501252628,3.8803058253600886
370,2.233646148499098,1.3107340972323223,3.5443802457314204
386,2.352568050157459,1.5733263911205853,3.925894441278044
389,2.3038243601048713,1.7523763493704831,4.0562007094753545
435,2.2884104792993165,1.954383835941697,4.242794315241014
436,2.2349383907060476,3.2414495709830096,5.476387961689057
438,2.369666225265958,2.5102829954566954,4.879949220722653
451,2.334834730824072,3.3570705188281087,5.69190524965218
454,2.296258357696197,3.570313723238917,5.866572080935114
466,2.304297517694307,1.348596914283966,3.652894431978273
472,2.365183760436911,4.021951199554453,6.387134959991363
496,2.3662829202488465,3.47244222952851,5.838725149777357
545,2.303442047988895,2.091666113510811,4.3951081614997065
557,2.2887046899376884,1.7584172850084445,4.047121974946133
559,2.2938840003677687,1.8670082796363665,4.160892280004135
574,2.2211454457740127,1.7979080301111956,4.019053475885208
575,2.3109250311499605,1.6003975313193592,3.9113225624693198
620,2.3101780450336773,1.2995911203103316,3.6097691653440087
622,2.282125767495047,2.2251279808284705,4.507253748323517
623,2.3260464483509398,2.561852267517721,4.88789871586866
629,2.3068145903107684,1.8082412461926192,4.115055836503387
645,2.363016548732048,1.2578266535248561,3.620843202256904
660,2.150294306716603,0.9160692807931213,3.0663635875097244
671,2.321828855937678,1.221505477805469,3.543334333743147
679,2.3349413131265657,1.1634420241574217,3.4983833372839874
692,2.3618810607008287,0.6759719300833512,3.03785299078418
698,2.368473403674064,1.0024606088052581,3.3709340124793217
700,2.3784340982894165,0.37234746992349255,2.750781568212909
711,2.3349571644281024,1.0118051928037923,3.3467623572318947
714,2.35723241969797,0.9696630432017569,3.326895462899727
737,2.3142322748221607,3.5301956806846344,5.844427955506795
740,2.2792207668930757,2.648902830207292,4.928123597100368
742,2.3353356979982967,2.2771259431142084,4.612461641112505
750,2.323252615634501,0.49216375936027534,2.815416374994776
752,2.3125905283340074,2.0266225710354004,4.339213099369408
767,2.323253731681825,1.691255078315735,4.01450880999756
773,2.33560367366072,2.479685674127295,4.815289347788015
782,2.3139470853624555,2.5937340188604665,4.907681104222922
791,2.3452620171585408,0.9493908895137482,3.294652906672289
811,2.3621930335916606,1.5419066572122853,3.904099690803946
830,2.211004225959035,1.6819438377124796,3.892948063671515
842,2.35962841617321,1.7174321413291687,4.077060557502379
843,2.3014149795141696,1.9740591547428967,4.275474134257067
853,2.2800328348355583,1.9058182385501634,4.185851073385722
875,2.4038037958150698,1.9226714902394413,4.326475286054511
880,2.319114657802347,1.893110524601154,4.212225182403501
890,2.2939560607942875,1.8244473722971175,4.118403433091405
910,2.3047446174674264,1.3608551836961935,3.66559980116362
913,2.3313431426885107,1.4873326985000288,3.8186758411885395
921,2.2717135195651506,1.8650745721888708,4.136788091754021
932,2.2992327381809634,2.610072544740954,4.909305282921917
935,2.3080010748065383,2.4700059537060675,4.778007028512606
940,2.2177375531887504,2.4792257056366043,4.696963258825354
948,2.3176315018658693,2.5542596799345225,4.871891181800391
954,2.299206302458579,2.206056727186323,4.505263029644902
963,2.342748771039025,2.2109515371672592,4.553700308206285
986,2.323270064523751,1.7721804091458018,4.095450473669553
991,2.311963143247165,1.6999678751620755,4.01193101840924
1023,2.3231353766295357,4.0550890486660105,6.378224425295546
1055,2.3143045568828193,1.9728623137576917,4.287166870640511
1056,2.2638387688816732,3.547952161241099,5.811790930122772
1067,2.3851613967499423,3.601750650876101,5.986912047626044
1071,2.322258240276091,3.2290771287189655,5.551335368995057
1079,2.3164396689159923,2.9422152240120663,5.2586548929280585
1084,2.3178432962016187,4.22159486294801,6.539438159149628
1086,2.364069136582163,3.110444694727215,5.474513831309379
1097,2.327372446606633,4.270875369202699,6.598247815809332
1122,2.338896846302381,3.3136903822895403,5.652587228591921
1126,2.246308370486313,3.786038794790136,6.032347165276449
1171,2.356960715147922,1.4196357820634187,3.776596497211341
1177,2.3114691200997477,1.5427696553130683,3.8542387754128162
1189,2.3316404575572176,0.6844850807430192,3.016125538300237
1192,2.280512575744774,1.4350442424484864,3.71555681819326
1214,2.2747240914026694,1.8182410599497847,4.092965151352454
1237,2.327888832626275,1.2523398993614299,3.580228731987705
1243,2.293788071767034,1.7143413001948415,4.008129371961875
1250,2.324513635639985,1.0976180634963175,3.422131699136303
1256,2.2940252338288785,1.1416515572056352,3.4356767910345134
1268,2.337419026195589,1.0664097432588884,3.4038287694544773
1281,2.293024074794664,1.3047197471788883,3.5977438219735527
1287,2.348019852696455,2.4566030273275477,4.804622880024002
1306,2.1777743276111483,0.5321298886152039,2.7099042162263522
1308,2.349380944006658,0.6189710504486541,2.968351994455312
1313,2.310873551699296,2.5477510027894983,4.858624554488794
1319,2.2980561864383637,2.816048427196725,5.114104613635089
1327,2.330905278399517,2.1680760032451194,4.498981281644637
1334,2.3186702815535516,1.826400042981964,4.145070324535515
1350,2.285506792465673,2.465517272449515,4.751024064915188
1358,2.309484809048175,3.2892775241215024,5.598762333169677
1362,2.368540287175685,1.7016372644157047,4.07017755159139
1363,2.3369932335378483,2.0950626600688658,4.432055893606714
1389,2.2551468272342188,3.903214547253188,6.158361374487407
1390,2.3037682420542973,3.9231607401897333,6.226928982244031
1394,2.3356812346190368,4.552338427293419,6.888019661912455
1395,2.3245259941745555,1.031066836159027,3.3555928303335825
1398,2.313556624424836,3.3306450987280285,5.6442017231528645
1400,2.34294697938833,5.121562846293821,7.464509825682151
1421,2.3317698053513056,3.5879955871523275,5.919765392503633
1426,2.2782927748816384,4.854295190034366,7.132587964916004
1447,2.300702244226625,2.0169184743436257,4.31762071857025
1457,2.2822259632502915,1.6823600921022872,3.9645860553525787
1460,2.288306956305418,1.935220442498975,4.223527398804393
1468,2.357766971149436,1.8308004140398413,4.188567385189277
1478,2.345247642002699,1.962410522152023,4.307658164154722
1499,2.276971858578182,2.410794782534426,4.687766641112608
1516,2.3045487944367857,2.2520126254697326,4.556561419906519
1533,2.302167815714428,1.723770225618596,4.025938041333024
1541,2.339492126448888,2.1991880676755726,4.538680194124461
1545,2.318904185196628,2.0530727186573525,4.37197690385398
1547,2.3131054383417906,1.679008395324206,3.9921138336659965
1548,2.2752241406801637,1.565676437472809,3.8409005781529726
1568,2.3111380956694947,2.2275941149638365,4.538732210633331
1573,2.366994911659027,2.2255180539426576,4.592512965601685
1576,2.290425999460207,3.213100189521242,5.503526188981449
1591,2.281079294025198,1.7173150596255993,3.9983943536507973
1601,2.3120577186129365,2.1574716836609578,4.469529402273894
1608,2.3357345048924767,2.103801840582965,4.4395363454754415
1617,2.3396832145273496,4.736889749881849,7.076572964409198
1633,2.327594938161214,5.073407070211246,7.40100200837246
1649,2.300300060063339,6.846693959632448,9.146994019695788
1660,2.3896915270127526,0.6285001218947754,3.018191648907528
1678,2.3244725934510533,2.6776214015927478,5.002093995043801
1713,2.2882877641455592,4.286361375060305,6.574649139205864
